sentID;text;gold_elin;gold_lena;gold_oscar;gold_agg
291392;at the same time, one can discuss whether it is appropriate for the surrogate mother and the intended father to jointly become legal parents of a child, and that the relationship can become permanent if the surrogate mother chooses not to renounce parenthood.;IDEAL;IDEAL;DESCRIPTIVE;IDEAL
305276;table 0 example when the fee is based on the child's national registration mother's household father's household fee income SEK 00,000 income SEK 00,000 mother's household SEK 0,000 has the child registered in the national register father's household SEK 0 income SEK 0 income SEK 00,000 mother's household SEK 0 has the child registered in the father's household SEK 0 table 0 example when the fee is based on place ownership mother's household father's household fee income SEK 00,000 income SEK 00,000 mother's household SEK 000 has the child registered in the national register father's household SEK 000 income SEK 0 income SEK 00,000 mother's household SEK 0 has the child registered in the father's household SEK 0,000 a fee withdrawal according to the civil registration principle means that in cases where both of the child's separated parents use a place, the household where the child is registered risks having to pay the entire fee for the place, if 000 inventory of conflict factors in the family financial regulations, etc.;DESCRIPTIVE;NA;NA;NA
328458;that so many of the mothers of the children placed in family homes are dead when the children become adults is, according to researchers, particularly worrying because a series of other studies show that children who have been cared for for a long time in family homes tend to lose contact with their fathers early on.;IDEAL;DESCRIPTIVE;DESCRIPTIVE;IDEAL
7955;it applies both to get fathers to want to take parental leave to a greater extent, to get mothers to refrain to a greater extent and to get employers to agree that both men and women should be expected to take parental leave to an equal degree.;IDEAL;IDEAL;IDEAL;IDEAL
78617;as justification, the committee has stated that the current order provides reassuring guarantees that it is indeed the biological father and not someone else who is determined to be the father of a child.;IDEAL;DESCRIPTIVE;DESCRIPTIVE;IDEAL
316122;in the case of maire v. portugal (judgment of 00 june 0000, application no. 00000/00), a mother, after the father had been granted custody of their common boy by a french court, had brought the boy from france to portugal.;NA;NA;DESCRIPTIVE;NA
348263;as the typical example of a residual welfare state where the public only intervenes when the market as well as the family are insufficient Great Britain has an older tradition of a more social democratic cut where a basic national pension equal for all constitutes one of the elements according to the ideas of 0 `` everidge % sping ! Andersen 0ainsbury % Meanwhile, since the beginning of the century, Great Britain has increasingly distanced itself from this tradition and developed in the direction of a more market-driven economy / similar Tory governments had been in power in Great Britain in it is readily asserted that Great Britain should be classified as a liberal or residual welfare state $ et public has not bothered about childcare but preschools and nurseries have been practically completely abandoned to private initiatives and market solutions -an for the quality of childcare that you pay for ) 0 Germany, on the other hand, the family is cherished, the German kindergartens have been a model for preschool activities in other countries the word Kindergarten has, among other things, been incorporated into Swedish and English, statutory parental leave in Great Britain can only be enjoyed by mothers, not by fathers, and income compensation is only paid for a few weeks! The employment protection during parental leave now covers half a year, which is a short time in comparison with the 0iv 0 'ustafsson time that the employment protection in connection with parental leave entitles to in s In both Austria and Sweden, the British government's position has been that the question of parental leave belongs to the individual employment contracts and therefore some workers have better conditions for Parental leave than what applies to the majority of 0abell ! number of women who gave birth divided by parity and number of births in the panel data material 0¤est Germany 0Great Britain 0Sweden only first child only second child a only third child a first and second child second and third child a first second and third child 0total number of women who gave birth +¤lla 'ustafsson 0etzels b % according to the division in 0abell, it looks as if 0Sweden and 0Skyland would have approximately the same family policy, but this is an appearance that deceives the surface with the German family policy is, namely, a completely different aim from the Swedish family policy % sping ! Andersen's welfare state typology has been criticized for not taking into account different outcomes for men and women by 0ainsbury and by other authors in the anthology on gender aspects of the welfare state that she edited 0ainsbury red 0ainsbury denotes % shoot! Andersen's typology as the main mainstream in political science research, a designation that his work immediately deserves due to the great influence on other social scientific researchers in a number of disciplines that this writing brought about) a later work of % sping ! ndersen about the welfare states on the European continent, the problem with the provider model has been given such a large space that it is even included in the title of his article (an writes, among other things, `` the grid of social services counteracts women's ability to work professionally and helps to explain % uropa's employment stagnation, because women still want professional work and because high wages costs make private market alternatives unaffordable, causing the system a serious choice situation between either a professional career for the woman or a child $ et ¤ in these terms we environmental policy and professional activities must first why ) Italy and 0pania today has world record low birth rates Author's continuation % sping ! ndersen may well interpret this quote to mean that the gender analysis of the welfare state has penetrated to the main danger Amilism characterizes German family policy and also pervades tax policy and social policy in ¶other, ewis and 0ainsbury distinguishes between the male breadwinner model and the individual model for shaping social policy 0ainsbury's classification of different dimensions of social policy according to the two models is shown in my continuation in 0abell 0i can classify social policy according to i to what degree it is designed according to the idea that the man is the provider and the woman the caretaker and provided for or if it is carried out according to the idea that men and women have equal roles and are both providers and guardians 0if mentioned in the introduction to this chapter 0verige already took important steps in the direction of the individual model which were then followed by other important reforms in the direction of the individual model so as special taxation right to parental leave for both the mother and the father full employment and labor market policy covering both women and men from and including 'ustafsson 0ainsbury 0abell amiljepolitik and type of welfare state in Great Britain, Austria and Sweden according to % sping! Andersen's typology, iberal +on-conservative 0ocial-democratic +corporatist , and 0britain 0uschland 0swegen 0ubventions small big big and political efforts for the family child care private or kindergarten subsidized markets;NA;IDEAL;DESCRIPTIVE;NA
212294;not the only ones, but also those: to turn to and stimulate fathers to read to their children, to stimulate new parents to read, to point to different ways to reach books where other publishing does not exist and to stimulate publishing of books that might not is at the top of the charts.;IDEAL;IDEAL;IDEAL;IDEAL
322886;what is said in the first paragraph about the father also applies to the person who is a parent according to chapter 0.;NA;DESCRIPTIVE;DESCRIPTIVE;NA
298413;explanations for the differences may be that young women more often have children with slightly older men and that younger fathers do not always register for paternity.00 young parents can sometimes be met with questioning from the adult world, both from relatives and from schools and other actors.;NA;IDEAL;DESCRIPTIVE;NA
