	prompt	prediction	gold_elin	gold_lena	gold_oscar	gold_agg	57,14%	63,14%	67,43%	62,57%
0		NA	PASSIVE	PASSIVE	PASSIVE	PASSIVE	0	0	0	
1		NA	PASSIVE	NA	NA	NA	0	1	1	
2		PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER	0	0	1	
3		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	1	1	
4		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
5		PASSIVE	NA	NA	ACTIVE_NEG	NA	0	0	0	
6		NA	NA	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER	1	0	0	
7		ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING	1	1	1	
8		PASSIVE	NA	PASSIVE	PASSIVE	PASSIVE	0	1	1	
9		PASSIVE	NA	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER	0	0	1	
10		ACTIVE_NEG	ACTIVE_NEG	NA	ACTIVE_NEG	ACTIVE_NEG	1	0	1	
11		PASSIVE	NA	PASSIVE	NA	NA	0	1	0	
12		NA	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	0	0	0	
13		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
14		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
15		NA	NA	PASSIVE	NA	NA	1	0	1	
16		PASSIVE	NA	NA	NA	NA	0	0	0	
17		ACTIVE_NEG	ACTIVE_POS_OTHER	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	0	1	1	
18		PASSIVE	NA	ACTIVE_NEG	PASSIVE	ACTIVE_NEG	0	0	1	
19		NA	NA	NA	NA	NA	1	1	1	
20		PASSIVE	NA	PASSIVE	NA	NA	0	1	0	
21		NA	ACTIVE_NEG	PASSIVE	PASSIVE	PASSIVE	0	0	0	
22		ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	1	1	1	
