sentID;text_clean;elin;lena;oscar;agg
291392;man kan samtidigt disku- tera om det är lämpligt att surrogatmodern och den tilltänkta fadern gemensamt blir rättsliga föräldrar till ett barn , och att det förhåll- andet kan bli bestående om surrogatmodern väljer att inte avsäga sig föräldraskapet .;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
328458;att så många av de familjehemsplacerade barnens mödrar är döda när barnen blir vuxna är enligt forskare särskilt oroväckande eftersom en rad andra studier visar att barn som vårdats lång tid i familjehem tenderar att tidigt förlora kontakten med sina fäder .;IMPLICIT;EXPLICIT;EXPLICIT;IMPLICIT
7955;det gäller både att få fäder att vilja ta föräldraledigt i större utsträckning , att få mödrar att i större utsträckning avstå och att få arbetsgivare att ställa in sig på att både män och kvinnor i lika hög grad ska kunna förväntas ta föräldraledigt .;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
78617;som motivering har utskottet anfört att den nuvarande ordningen ger betryggande garantier för att det verkligen är den biologiska fadern och inte någon annan som fastställs som far till ett barn .;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
212294;inte de ensamma , men också de : att vända sig till och stimulera fäder att läsa för sina barn , att stimulera nyblivna föräldrar att läsa , att peka på olika sätt att nå böcker där annan utgivning inte finns och att stimulera utgivning av böcker som kanske inte ligger i toppen på hitlistorna .;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
364834;kontaktuppgifter titti.mattson @ jur.lu.se 000-000 00 00 avslutade projekt och forskningsprogram 00 barn som upplevt pappas våld mot mamma möter familjerätten utsatta barn som sociala aktörer i utredningar om vårdnad , boende eller umgänge bakgrund vid en rättslig tvist mellan ett barns föräldrar gällande boende , vårdnad eller umgänge ska barnets inställning undersökas och redovisas inför rätten .;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
355306;således finner kommittén det angeläget att bestämmelserna i medbl underlättar för barn att få svenskt medborgarskap efter fadern även om denne inte är gift med barnets mor .;IMPLICIT;EXPLICIT;EXPLICIT;IMPLICIT
127819;föräldrabalkens faderskapspresumtion bygger på tanken att den i de flesta fall anger den genetiske fadern som barnets rättsliga far .;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
197689;barnet kan vara så påverkat av boendeföräldern att det säger sådant som det matats med eller förväntas säga av en kontrollerande förälder , så kallad föräldrapåverkan eller föräldraalienation , att pappan framställs som en alien , en udda och skrämmande person .;IMPLICIT;EXPLICIT;IMPLICIT;IMPLICIT
333137;anledningen till att de olika grupperna skilde sig åt i detta avseende kan enligt tasker och golombok bero på att respondenterna med homosexuella mödrar inte hade upplevt moderns partner som något hot gentemot den frånvarande fadern utan snarare som en extra vuxenperson .;IMPLICIT;EXPLICIT;EXPLICIT;IMPLICIT
73159;det skulle dels stärka banden mellan barn och far , dels skulle pappans tidiga delaktighet innebära en betydande avlastning för mamman den första tiden efter förlossningen .;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
277902;dottern var traumatiserad sedan hon bevittnat det våld hennes mor utsatts för av fadern .;IMPLICIT;EXPLICIT;EXPLICIT;IMPLICIT
351637;anledningen till att kvinnors inkomster i medeltal är högre för bidragsförskott och barnbidrag är att det finns fler ensamstående mödrar än ensamstående fäder .;IMPLICIT;EXPLICIT;EXPLICIT;IMPLICIT
