	prompt	prediction	gold_gold_elin	gold_gold_lena	gold_gold_oscar	gold_gold_agg
0		NA	PASSIVE	PASSIVE	PASSIVE	PASSIVE
1		NA	PASSIVE			
2		PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER
3		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
4		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
5		PASSIVE			ACTIVE_NEG	
6		NA		ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER
7		ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING
8		PASSIVE		PASSIVE	PASSIVE	PASSIVE
9		ACTIVE_POS_OTHER		ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER
10		ACTIVE_NEG	ACTIVE_NEG		ACTIVE_NEG	ACTIVE_NEG
11		PASSIVE		PASSIVE		
12		NA	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
13		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
14		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
15		ACTIVE_POS_OTHER		PASSIVE		
16		NA				
17		ACTIVE_NEG	ACTIVE_POS_OTHER	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
18		PASSIVE		ACTIVE_NEG	PASSIVE	ACTIVE_NEG
19		PASSIVE				
20		PASSIVE		PASSIVE		
21		NA	ACTIVE_NEG	PASSIVE	PASSIVE	PASSIVE
22		ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING
23		NA		ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_CARING
24		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
25		ACTIVE_POS_CHALLENGING			ACTIVE_NEG	
26		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
27		NA				
28		PASSIVE	ACTIVE_NEG	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_NEG
29		PASSIVE			PASSIVE	
30		NA	ACTIVE_POS_CARING			
31		ACTIVE_POS_OTHER		PASSIVE	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING
32		ACTIVE_POS_CARING	ACTIVE_NEG	ACTIVE_POS_OTHER	ACTIVE_NEG	ACTIVE_NEG
33		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER		ACTIVE_POS_OTHER
34		ACTIVE_POS_OTHER	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING	PASSIVE	ACTIVE_POS_CHALLENGING
35		NA	ACTIVE_POS_OTHER			
36		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
37		PASSIVE				
38		PASSIVE				
39		NA	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_OTHER
40		PASSIVE	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE
41		PASSIVE		PASSIVE		
42		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
43		ACTIVE_NEG	PASSIVE	PASSIVE	PASSIVE	PASSIVE
44		NA			PASSIVE	
45		PASSIVE	PASSIVE		PASSIVE	PASSIVE
46		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE		
47		NA		PASSIVE	PASSIVE	PASSIVE
48		NA		PASSIVE		
49		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_OTHER
50		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
51		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE
52		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
53		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
54		ACTIVE_NEG	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
55		ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING
56		PASSIVE			PASSIVE	
57		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
58		NA				
59		PASSIVE	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
60		PASSIVE		ACTIVE_NEG	PASSIVE	ACTIVE_NEG
61		ACTIVE_POS_OTHER	ACTIVE_NEG	ACTIVE_POS_CARING	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING
62		PASSIVE	PASSIVE	ACTIVE_POS_CHALLENGING	ACTIVE_POS_OTHER	ACTIVE_POS_CHALLENGING
63		ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING
64		NA			PASSIVE	
65		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
66		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
67		NA	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER		ACTIVE_POS_OTHER
68		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
69		ACTIVE_NEG	PASSIVE	ACTIVE_POS_CHALLENGING	PASSIVE	PASSIVE
70		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
71		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
72		ACTIVE_NEG		ACTIVE_NEG		
73		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
74		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER
75		ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
76		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
77		ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING
78		NA				
79		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
80		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE
81		NA	PASSIVE		PASSIVE	PASSIVE
82		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
83		NA				
84		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
85		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER		ACTIVE_POS_OTHER
86		ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_CARING
87		ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
88		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
89		NA		PASSIVE	PASSIVE	PASSIVE
90		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
91		ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER
92		ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
93		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
94		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
95		ACTIVE_POS_OTHER	ACTIVE_POS_CHALLENGING	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
96		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
97		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
98		ACTIVE_NEG	ACTIVE_POS_OTHER	ACTIVE_NEG		ACTIVE_NEG
99		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
100		ACTIVE_NEG	PASSIVE	ACTIVE_POS_OTHER	PASSIVE	PASSIVE
101		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
102		PASSIVE	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE
103		ACTIVE_NEG		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
104		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
105		ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER		ACTIVE_POS_OTHER
106		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
107		PASSIVE	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE
108		ACTIVE_POS_CARING	ACTIVE_POS_CHALLENGING	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
109		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
110		ACTIVE_POS_OTHER	ACTIVE_POS_CHALLENGING	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
111		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
