	prompt	prediction	gold_elin	gold_lena	gold_oscar	gold_agg
0		NA	PASSIVE	PASSIVE	PASSIVE	PASSIVE
1		NA	PASSIVE	NA	NA	NA
2		PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER
3		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
4		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
5		PASSIVE	NA	NA	ACTIVE_NEG	NA
6		NA	NA	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER
7		ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING
8		PASSIVE	NA	PASSIVE	PASSIVE	PASSIVE
9		PASSIVE	NA	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER
10		ACTIVE_NEG	ACTIVE_NEG	NA	ACTIVE_NEG	ACTIVE_NEG
11		PASSIVE	NA	PASSIVE	NA	NA
12		NA	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
13		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
14		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
15		ACTIVE_POS_OTHER	NA	PASSIVE	NA	NA
16		NA	NA	NA	NA	NA
17		ACTIVE_NEG	ACTIVE_POS_OTHER	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
18		PASSIVE	NA	ACTIVE_NEG	PASSIVE	ACTIVE_NEG
19		PASSIVE	NA	NA	NA	NA
20		PASSIVE	NA	PASSIVE	NA	NA
21		NA	ACTIVE_NEG	PASSIVE	PASSIVE	PASSIVE
22		ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING
23		ACTIVE_POS_CARING	NA	ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_CARING
24		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
25		ACTIVE_POS_CHALLENGING	NA	NA	ACTIVE_NEG	NA
26		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
27		NA	NA	NA	NA	NA
28		PASSIVE	ACTIVE_NEG	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_NEG
29		PASSIVE	NA	NA	PASSIVE	NA
30		NA	ACTIVE_POS_CARING	NA	NA	NA
31		ACTIVE_POS_OTHER	NA	PASSIVE	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING
32		ACTIVE_POS_CARING	ACTIVE_NEG	ACTIVE_POS_OTHER	ACTIVE_NEG	ACTIVE_NEG
33		ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	NA	ACTIVE_POS_OTHER
34		ACTIVE_POS_OTHER	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING	PASSIVE	ACTIVE_POS_CHALLENGING
